FLOWS	STATE	ADR	CLK	CIR	WR	CB	CD	CBA	BUS	DAD	SPS	ALU	SBC	SBM	SDM	SBA	UBF	SRX	RIF	UPF	MM
08	DOP10	231	4	0	0	0	1	0	0	14	0	00	00	00	0	0	00	01	11	254	17
09	RSR06	232	6	0	0	1	1	0	0	00	1	32	00	00	3	0	00	00	00	275	17
09	RSR08	233	6	0	0	1	1	0	0	00	1	32	00	10	3	0	00	00	00	276	17

08	SXT01	234	4	0	0	0	1	0	5	14	0	03	00	00	2	0	00	00	00	367	16
05	JMP02	235	4	0	0	0	1	0	0	00	0	06	01	17	0	0	15	04	00	300	17
09	SSL05	236	4	0	0	0	1	0	5	00	0	32	00	12	2	0	00	00	00	367	16
03	DST16	237	4	0	0	0	1	0	0	00	0	32	00	02	0	0	34	01	13	270	17

02	SRC03	240	3	0	3	0	0	0	0	00	0	00	00	00	2	0	35	10	00	250	17
02	SRC07	241	2	0	3	1	0	0	0	00	0	00	00	00	1	0	00	01	11	242	17
02	SRC08	242	4	0	0	0	0	1	1	01	0	11	00	00	0	0	00	10	00	247	03
02	SRC10	243	2	0	3	1	0	0	0	00	0	00	00	00	1	0	00	01	11	244	17

02	SRC11	244	5	0	0	0	0	1	1	00	0	11	00	00	0	0	00	10	00	245	17
02	SRC12	245	2	0	3	1	0	0	0	00	0	00	00	00	1	0	00	01	11	246	17
02	SRC13	246	2	0	0	0	0	1	1	01	0	00	00	00	0	1	00	01	11	247	03
02	SRC14	247	3	0	0	0	0	0	0	00	0	00	00	00	0	0	35	01	13	250	17

02	SRC15	250	2	0	3	1	0	0	0	00	0	00	00	00	1	0	00	01	11	120	17
02	SRC17	251	2	0	3	1	0	0	0	00	0	00	00	00	2	0	00	01	11	120	17
01	FET09	252	2	0	3	1	0	0	0	00	0	00	00	00	2	0	00	01	13	004	17
09	SSL12	253	2	0	0	0	0	0	0	00	1	00	00	00	2	0	00	00	00	075	17

08	DOP22	254	2	0	0	0	0	0	0	00	1	00	00	00	2	0	00	00	00	074	17
11	CON12	255	6	0	0	0	1	0	2	00	6	00	00	00	0	0	24	00	00	041	17
		256	0	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	000	17
08	MOV07	257	2	0	3	0	0	0	0	00	0	00	16	00	2	0	00	04	00	200	17

03	DST03	260	3	0	3	0	0	0	0	00	0	00	00	00	2	0	33	04	00	267	17
03	DST09	261	2	0	3	1	0	0	0	00	0	00	00	00	1	0	00	01	12	262	17
03	DST10	262	4	0	0	0	0	1	3	07	0	11	00	00	0	0	00	04	00	266	16
03	DST11	263	5	0	0	0	0	1	1	00	0	11	00	00	0	0	00	04	00	264	17

03	DST12	264	2	0	3	1	0	0	0	00	0	00	00	00	1	0	00	01	12	265	17
03	DST13	265	2	0	0	0	0	1	3	01	0	00	00	00	0	1	00	01	12	266	16
03	DST14	266	3	0	0	0	0	0	0	00	0	00	00	00	0	0	33	01	13	267	17
03	DST15	267	2	0	3	1	0	0	0	00	0	00	00	00	1	0	00	01	12	220	17

03	DST17	270	2	0	3	1	0	0	0	00	0	00	00	00	2	0	00	01	12	220	17
09	RSR01	271	6	0	3	0	1	0	0	00	0	32	00	00	2	0	27	04	00	274	17
09	RSR03	272	6	0	0	1	1	0	0	00	1	32	00	10	3	0	00	00	00	273	17
09	RSR04	273	6	0	1	0	1	0	0	00	0	32	00	02	2	0	27	04	00	274	17

09	RSR05	274	0	0	0	0	0	0	0	00	2	00	00	00	0	0	00	04	00	000	17
09	RSR07	275	4	0	0	0	1	0	5	00	0	32	00	00	2	0	00	00	00	277	16
09	RSR09	276	4	0	0	0	1	0	7	00	0	32	00	02	2	0	00	00	00	277	16
